sim,mes,estado,ticket,vendas,faturamento
30,6,baixo,4248.748312467584,1.8998009259865578,8071.77597830974
30,7,alto,35938.420523362096,4.328569444582591,155561.94896398505
30,8,baixo,6571.989466891613,2.260134259331391,14853.57854608678
30,9,baixo,6187.516461103418,3.8471458334561146,23804.27817277514
30,10,alto,31733.821166789865,2.260134259331391,71722.69639855743
30,11,alto,39544.55059702798,2.572923611193225,101745.10792511843
30,12,baixo,9045.481826347614,0.0,0.0
31,1,medio,27511.282543477762,0.817277777803861,22484.359861667657
31,2,alto,32990.789504996355,2.30767824081439,76132.12708796782
31,3,medio,24434.956329049648,2.260134259331391,55226.281924551506
31,4,baixo,7293.52774704713,2.4518333334115834,17882.51444837244
31,5,medio,13411.599750926665,2.019368055620004,27082.956111782514
31,6,medio,14747.711822054269,1.8998009259865578,28017.716575721606
31,7,alto,48191.80485021925,4.328569444582591,208601.57395394615
31,8,baixo,6292.43976115704,2.260134259331391,14221.758678970062
31,9,alto,25071.76419340996,3.8471458334561146,96454.73315407133
31,10,baixo,3061.4425464826427,2.260134259331391,6919.271182280155
31,11,medio,16255.94157595423,2.572923611193225,41825.295902950245
31,12,baixo,7278.120169769526,0.0,0.0
32,1,medio,14959.15478341997,0.817277777803861,12225.78477921747
32,2,baixo,6601.9420557211615,2.30767824081439,15235.158029105147
32,3,medio,15189.138113814091,2.260134259331391,34329.491420747414
32,4,medio,23944.877877027622,2.4518333334115834,58708.849743365914
32,5,medio,18864.768415015205,2.019368055620004,38094.91071395092
32,6,alto,33517.36315343589,1.8998009259865578,63676.31755552523
32,7,alto,43837.886823228786,4.328569444582591,189755.33741809792
32,8,medio,23351.90936258521,2.260134259331391,52778.4503711803
32,9,baixo,1659.2685880491936,3.8471458334561146,6383.448235098065
32,10,alto,18685.41686517853,2.260134259331391,42231.55080687856
32,11,baixo,5869.411446295918,2.572923611193225,15101.547293982543
32,12,alto,42338.57752867228,0.0,0.0
33,1,medio,22693.374731874268,0.817277777803861,18546.79087173649
33,2,baixo,7728.332652078783,2.30767824081439,17834.505098977574
33,3,medio,24844.943511199053,2.260134259331391,56152.90800081412
33,4,medio,22897.61547477568,2.4518333334115834,56141.13687669591
33,5,medio,25700.626566414343,2.019368055620004,51899.02429763596
33,6,medio,18869.519710100325,1.8998009259865578,35848.3310181702
33,7,baixo,6807.422032135972,4.328569444582591,29466.399004682098
33,8,medio,11723.779686297596,2.260134259331391,26497.31611785462
33,9,baixo,4162.751043732773,3.8471458334561146,16014.710333611629
33,10,medio,16470.623380406512,2.260134259331391,37225.820174601366
33,11,baixo,3985.79714227687,2.572923611193225,10255.151576790642
33,12,alto,38449.75467287638,0.0,0.0
34,1,medio,19079.275699343794,0.817277777803861,15593.068045666903
34,2,alto,33295.80270716521,2.30767824081439,76835.99941777402
34,3,medio,20306.461396423492,2.260134259331391,45895.329087847094
34,4,medio,26293.805473347697,2.4518333334115834,64468.02872179382
34,5,medio,23940.26856116923,2.019368055620004,48344.21357538902
34,6,baixo,6512.503303513349,1.8998009259865578,12372.459806505178
34,7,medio,22967.597399985912,4.328569444582591,99416.84032105359
34,8,medio,10833.13427235626,2.260134259331391,24484.33790488942
34,9,baixo,7327.13174599257,3.8471458334561146,28188.544367779345
34,10,medio,18467.495707621805,2.260134259331391,41739.01973285145
34,11,baixo,3009.745767757431,2.572923611193225,7743.8459495519755
34,12,alto,44609.23006712511,0.0,0.0
35,1,medio,19321.259357320738,0.817277777803861,15790.835911923148
35,2,alto,30898.151835803044,2.30767824081439,71302.99267286187
35,3,alto,39168.830999405516,2.260134259331391,88526.81683971781
35,4,alto,22166.685479059575,2.4518333334115834,54349.01834880878
35,5,baixo,3390.261414524994,2.019368055620004,6846.185600692862
35,6,baixo,9471.621352124563,1.8998009259865578,17994.195015360296
35,7,medio,11804.05575204243,4.328569444582591,51094.67505044024
35,8,medio,14809.652902650072,2.260134259331391,33471.803894086006
35,9,medio,11958.839754350127,3.8471458334561146,46007.40053391743
35,10,medio,20324.514306608005,2.260134259331391,45936.13108863574
35,11,alto,31695.119498855885,2.572923611193225,81549.1213181971
35,12,alto,41235.057099268815,0.0,0.0
36,1,medio,24019.065733193693,0.817277777803861,19630.248667349406
36,2,medio,15181.415220576157,2.30767824081439,35033.82156929199
36,3,alto,29536.296388265604,2.260134259331391,66755.99536088512
36,4,alto,28555.030132030646,2.4518333334115834,70012.1747142849
36,5,medio,14814.038070516259,2.019368055620004,29914.995254339137
36,6,alto,31726.57307492988,1.8998009259865578,60274.17290613198
36,7,baixo,4973.984569647148,4.328569444582591,21530.237625999936
36,8,medio,17079.59049978574,2.260134259331391,38602.167623916706
36,9,alto,31457.16826702832,3.8471458334561146,121020.31383082591
36,10,baixo,9186.789252991539,2.260134259331391,20763.377123943614
36,11,alto,22870.517462114156,2.572923611193225,58844.09437848047
36,12,baixo,4428.810538972641,0.0,0.0
37,1,medio,13598.578382060616,0.817277777803861,11113.815921382124
37,2,alto,36814.625577706516,2.30767824081439,84956.31038940222
37,3,baixo,4646.966658150846,2.260134259331391,10502.768546057432
